Dataset,Uniform32,AKS32,OptionPool32,PairwisePointwise32,HDEA-Core32
VideoMME,63.59259259259259,62.74074074074074,64.81481481481481,62.22222222222222,66.55555555555556
LongVideoBench,58.26477187733732,61.630516080777866,64.17352281226627,56.32011967090501,64.62228870605834
MLVU-Dev M-AVG,63.94955847585534,70.90764078639289,73.23336868946,63.134869670345054,73.6162107481069
