Dataset,HDEA-Uniform,HDEA-AKS,HDEA-OptionPool,HDEA-PairwisePointwise
VideoMME,2.962962962962969,3.8148148148148167,1.7407407407407476,4.333333333333336
LongVideoBench,6.357516828721025,2.9917726252804755,0.4487658937920713,8.302169035153334
MLVU-Dev M-AVG,9.666652272251554,2.708569961714005,0.3828420586469008,10.48134107776184
