Dataset,Models,Cross-model mean Full-Core gain,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,MLVU metric note
VideoMME,4,1.0185185185185137,0.22364901594505657,0.5833333333333357,1.4539351851851872,0.9999,10000,accuracy
LongVideoBench,4,0.31787584143605585,0.2704637327600767,-0.22059229320867252,0.8455034588777863,0.8718,10000,accuracy
MLVU-Dev M-AVG,4,0.7684789267854626,0.25710723028694576,0.25574303902968265,1.2778449941329615,0.9989,10000,primary point effect averages per-model seven-task M-AVG; bootstrap recomputes M-AVG
