Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Scope
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E48,-0.1379944802207831,0.5409547347210893,-1.1910433539780882,0.9268388796544388,0.3897,10000,1122,70.42892432318064,70.29751412843274,Micro accuracy
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E48,-1.5,1.965020043605777,-5.376344086021504,2.3809523809523796,0.186,10000,1122,72.48695094679815,70.98576799791454,Anomaly Recognition
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E48,-2.427184466019412,1.885201088553338,-6.2200956937799035,1.3455958444088176,0.0765,10000,1122,35.49713040015906,33.08370917752427,Count
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E48,0.0,1.1373832398650738,-2.3490151926682685,2.099875673435561,0.4598,10000,1122,65.350472648881,65.33234067863562,Egocentric Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E48,0.5633802816901436,0.3993888903984693,0.0,1.4663834742107993,0.8638,10000,1122,79.7952274667913,80.35692565886396,NeedleQA
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E48,1.1583011583011498,2.4433176723143752,-3.529759147753591,5.982905982905983,0.6555,10000,1122,61.36002895822753,62.53208123702847,Order
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E48,-1.484230055658628,1.0687858743556076,-3.5714285714285694,0.5929441934876772,0.0669,10000,1122,79.00782541758991,77.53944229496362,PlotQA
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,E48,3.0418250950570496,1.4023798982133133,0.3816793893129784,5.859375,0.9828,10000,1122,81.76084502381056,84.7974187113731,Topic Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,Full,0.5059797608095664,0.4104130480223993,-0.3216985750716951,1.316423566376126,0.8805,10000,1122,70.42361489384227,70.92490286672962,Micro accuracy
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,Full,0.0,1.4280774152147089,-2.8439404197697997,2.803738317757009,0.4205,10000,1122,72.53695406291011,72.50726475197943,Anomaly Recognition
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,Full,-0.4854368932038824,1.4554708723669556,-3.414634146341463,2.3474178403755843,0.3063,10000,1122,35.45272972392242,34.968408780052144,Count
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,Full,1.7045454545454533,0.8663073237497317,0.0,3.4162154270849903,0.9676,10000,1122,65.3066453927764,67.01566149384401,Egocentric Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,Full,0.2816901408450718,0.2801352761869876,0.0,0.9118541033434585,0.6268,10000,1122,79.70272126381543,79.98213835394748,NeedleQA
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,Full,2.7027027027027017,1.8540952820474939,-0.8696660482374784,6.374501992031881,0.9118,10000,1122,61.41302947924688,64.09900660735265,Order
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,Full,-1.8552875695732922,0.8219544964131956,-3.5120243351002913,-0.33722568670281516,0.0074,10000,1122,79.0357915658988,77.17964000710654,PlotQA
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,Full,3.0418250950570496,1.0411390020594764,1.16279069767441,5.223880597014926,0.9999,10000,1122,81.75050893174307,84.77896184384986,Topic Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,Full,0.22999080036798603,0.315117463229759,-0.3764838942174407,0.8498583569405156,0.7543,10000,1122,70.69003800121159,70.9252562976761,Micro accuracy
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,Full,2.0,1.0067540473539198,0.4608294930875587,4.205607476635507,0.9805,10000,1122,70.52686819496867,72.5314708402303,Anomaly Recognition
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,Full,0.0,0.9568815178347733,-1.92307692307692,1.9230769230769198,0.4002,10000,1122,34.94215525382284,34.9513792974602,Count
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,Full,1.7045454545454533,0.9934138817643647,0.0,3.809771825396829,0.9542,10000,1122,65.26556855523268,66.99372380802893,Egocentric Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,Full,0.0,0.4048293406224284,-0.8086253369272217,0.8310826408125638,0.3503,10000,1122,80.00793209948013,80.01170992046123,NeedleQA
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,Full,-1.1583011583011569,1.2936786428135036,-3.731343283582092,1.4088266252318125,0.1463,10000,1122,65.23145169646641,64.08264880124062,Order
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,Full,-0.18552875695733917,0.6690654104881223,-1.5267175572518998,1.1272293051469195,0.3379,10000,1122,77.37669711821484,77.19254973746244,PlotQA
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,Full,-0.3802281368821099,0.663126965285301,-1.7301038062283713,0.8299619640387371,0.1839,10000,1122,85.14206598719257,84.76903948666654,Topic Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,Full,0.6439742410303495,0.4108557657064603,-0.17608755369093207,1.4492753623188297,0.9371,10000,1122,70.26610249348253,70.91603163478328,Micro accuracy
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,Full,1.5,1.506353376620719,-1.4635939741750403,4.522613065326638,0.7951,10000,1122,71.02791803556526,72.51654804577541,Anomaly Recognition
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,Full,1.9417475728155296,1.353443987996301,-0.5208333333333323,4.717082354846547,0.9044,10000,1122,33.0154108477171,34.97253621806596,Count
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,Full,1.7045454545454533,1.0703678261362362,-0.28171003421660035,3.9267015706806205,0.937,10000,1122,65.27499978018919,66.99072778859649,Egocentric Reasoning
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,Full,-0.2816901408450718,0.2860460692842659,-0.9493670886076018,0.0,0.0,10000,1122,80.27971980999115,79.99404950661153,NeedleQA
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,Full,1.544401544401552,1.72373030212822,-1.747226379866374,5.0,0.7889,10000,1122,62.494885522639144,64.07038896910547,Order
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,Full,-0.3710575139146641,0.8336863642069922,-2.018348623853214,1.2389563373070989,0.2931,10000,1122,77.53567825340902,77.17559797005576,PlotQA
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,Full,0.0,1.0766434338248352,-2.10526315789474,2.1459227467811104,0.4286,10000,1122,84.78720239302851,84.7895019369506,Topic Reasoning
