Dataset,HDEA-Core32,Protected-E48,Fresh-HDEA48,Uniform48,Protected-Fresh,Protected-Uniform,Fresh-Core,Protected isolated-view calls,Protected end-to-end adaptive calls,Fresh/Uniform calls
VideoMME,66.55555555555556,67.51851851851852,66.62962962962963,65.51851851851852,0.8888888888888857,2.0,0.07407407407407618,1,2,1
LongVideoBench,64.62228870605834,65.14584891548242,64.54749439042632,60.43380703066566,0.5983545250560951,4.712041884816756,-0.07479431563201899,1,2,1
MLVU-Dev M-AVG,73.6162107481069,74.35392763267366,74.8720917086032,66.82701387714654,-0.5181640759295334,7.526913755527119,1.2558809604962988,1,2,1
