Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count
VideoMME,Fresh-HDEA48,Protected-E48,0.8888888888888857,0.5547156831921832,-0.18518518518519045,2.0,0.943,10000,900
VideoMME,Uniform48,Protected-E48,2.0,0.7672996847638143,0.518518518518519,3.518518518518519,0.9965,10000,900
VideoMME,HDEA-Core32,Fresh-HDEA48,0.07407407407407618,0.502664482042021,-0.9259259259259238,1.074074074074062,0.5469,10000,900
LongVideoBench,Fresh-HDEA48,Protected-E48,0.5983545250560951,0.7777561688883503,-0.909814676335527,2.1293992859130118,0.7655,10000,753
LongVideoBench,Uniform48,Protected-E48,4.712041884816756,1.0526791947439933,2.597378511696014,6.750789682235927,1.0,10000,753
LongVideoBench,HDEA-Core32,Fresh-HDEA48,-0.07479431563201899,0.6430148900857322,-1.3353363557658715,1.1958146487294528,0.4297,10000,753
MLVU-Dev M-AVG,Fresh-HDEA48,Protected-E48,-0.5181640759295334,0.7265100216358905,-1.9282522412280634,0.8975850757282732,0.24,10000,1122
MLVU-Dev M-AVG,Uniform48,Protected-E48,7.526913755527119,0.9873902361768285,5.559694841134581,9.420541579888395,1.0,10000,1122
MLVU-Dev M-AVG,HDEA-Core32,Fresh-HDEA48,1.2558809604962988,0.5938892116286927,0.10709782742349212,2.440257764641282,0.9838,10000,1122
